ipv4-1;ipv4-2;ipv4-3;ipv6-1;ipv6-2;mac;host_name;zone
-;10.0.107.12;151.216.7.2;2a07:1182:7:1::2;-;00:50:56:9e:38:1d;"dns.blue07.ex,ntp.blue07.ex

";DMZ
-;10.0.107.13;151.216.7.3;2a07:1182:7:1::3;-;00:50:56:9e:20:fe;"dns2.blue07.ex,ntp2.blue07.ex
";DMZ
-;10.0.107.14;151.216.7.4;2a07:1182:7:1::4;-;00:50:56:9e:3a:98;"mail.blue07.ex
";DMZ
-;10.0.107.15;151.216.7.5;2a07:1182:7:1::5;-;00:50:56:9e:54:68;"www.blue07.ex
";DMZ
-;10.0.107.16;151.216.7.6;2a07:1182:7:1::6;-;00:50:56:9e:15:7b;"asterisk.blue07.ex
";DMZ
-;10.0.107.17;151.216.7.7;2a07:1182:7:1::7;-;00:50:56:9e:7f:3b;"chat.blue07.ex
";DMZ
-;10.0.107.18;151.216.7.8;2a07:1182:7:1::8;-;00:50:56:9e:75:20;"shop.blue07.ex
";DMZ
-;10.0.107.19;151.216.7.9;2a07:1182:7:1::9;-;00:50:56:9e:7d:05;"vpn.blue07.ex
";DMZ
-;10.0.107.10;151.216.7.10;2a07:1182:7:1::10;-;00:50:56:9e:3b:4d;dev.blue07.ex,wiki.blue07.ex,redmine.blue07.ex ;DMZ
10.7.2.2;10.0.107.22;-;2a07:1182:7:2::2;-;00:50:56:9e:14:35;dc1.ops.blue07.ex;OPS
10.7.2.3;10.0.107.23;-;2a07:1182:7:2::3;-;00:50:56:9e:0e:3f;dc2.ops.blue07.ex;OPS
10.7.2.4;10.0.107.24;-;2a07:1182:7:2::4;-;00:50:56:9e:2a:ff;files.ops.blue07.ex;OPS
10.7.2.5;10.0.107.25;-;2a07:1182:7:2::5;-;00:50:56:9e:21:68;icc-srv.ops.blue07.ex;OPS
10.7.2.6;10.0.107.26;-;2a07:1182:7:2::6;-;00:50:56:9e:78:21;icc-orsdb.ops.blue07.ex;OPS
10.7.2.7;10.0.107.27;-;2a07:1182:7:2::7;-;00:50:56:9e:7f:31;ui.pwr.ops.blue07.ex;OPS
10.7.2.44;10.0.107.28;-;2a07:1182:7:2:4044:8788:7035:2d0b;-;00:50:56:9e:03:ab;icc-ws1.ops.blue07.ex;OPS
10.7.2.56;10.0.107.29;-;2a07:1182:7:2:2caa:7d19:8f81:80ad;-;00:50:56:9e:3b:8c;icc-ws2.ops.blue07.ex;OPS
10.7.2.31;10.0.107.95;-;2a07:1182:7:2::31;-;00:50:56:9e:7b:03;icc-radar.ops.blue07.ex;OPS
10.7.2.48;10.0.107.101;-;2a07:1182:7:2:148e:9f69:9ce7:3b8d;-;00:50:56:9e:4f:5f;ws1-01.ops.blue07.ex;OPS
10.7.2.52;10.0.107.102;-;2a07:1182:7:2:9d53:da63:a410:6e33;-;00:50:56:9e:69:52;ws1-02.ops.blue07.ex;OPS
10.7.2.50;10.0.107.103;-;2a07:1182:7:2:5da2:2460:3045:ac62;-;00:50:56:9e:33:8b;ws1-03.ops.blue07.ex;OPS
10.7.2.45;10.0.107.104;-;2a07:1182:7:2:14a9:ba23:5172:9b8e;-;00:50:56:9e:78:6b;ws1-04.ops.blue07.ex;OPS
10.7.2.37;10.0.107.105;-;2a07:1182:7:2:5063:4629:5b7:8d41;-;00:50:56:9e:28:75;ws1-05.ops.blue07.ex;OPS
10.7.2.42;10.0.107.106;-;2a07:1182:7:2:95f4:488c:2efa:44ed;-;00:50:56:9e:34:ed;ws1-06.ops.blue07.ex;OPS
10.7.2.39;10.0.107.107;-;2a07:1182:7:2:c4b2:988a:3a11:ada1;-;00:50:56:9e:37:1c;ws1-07.ops.blue07.ex;OPS
10.7.2.34;10.0.107.108;-;2a07:1182:7:2:cd3c:7252:98f3:1fb0;-;00:50:56:9e:79:b0;ws1-08.ops.blue07.ex;OPS
10.7.2.36;10.0.107.109;-;2a07:1182:7:2:e15b:46a4:7754:54d2;-;00:50:56:9e:7c:4c;ws1-09.ops.blue07.ex;OPS
10.7.2.41;10.0.107.110;-;2a07:1182:7:2:c489:b01e:6ae:6dfd;-;00:50:56:9e:2b:4e;ws1-10.ops.blue07.ex;OPS
10.7.2.69;10.0.107.111;-;2a07:1182:7:2:441d:c469:d183:4203;-;00:50:56:9e:0c:52;ws2-01.ops.blue07.ex;OPS
10.7.2.68;10.0.107.112;-;2a07:1182:7:2:38f1:2c8c:f9a8:d819;-;00:50:56:9e:1e:66;ws2-02.ops.blue07.ex;OPS
10.7.2.66;10.0.107.113;-;2a07:1182:7:2:d8b4:10c4:c3d8:d3d6;-;00:50:56:9e:6b:64;ws2-03.ops.blue07.ex;OPS
10.7.2.71;10.0.107.114;-;2a07:1182:7:2:2ce9:d1e0:598f:867;-;00:50:56:9e:3c:80;ws2-04.ops.blue07.ex;OPS
10.7.2.70;10.0.107.115;-;2a07:1182:7:2:6430:5f76:bbae:9e34;-;00:50:56:9e:3c:1b;ws2-05.ops.blue07.ex;OPS
10.7.2.73;10.0.107.116;-;2a07:1182:7:2:88e2:bf76:d1bf:3d54;-;00:50:56:9e:5f:ff;ws2-06.ops.blue07.ex;OPS
10.7.2.74;10.0.107.117;-;2a07:1182:7:2:a132:c84f:8e6b:ffee;-;00:50:56:9e:14:99;ws2-07.ops.blue07.ex;OPS
10.7.2.67;10.0.107.118;-;2a07:1182:7:2:977:d1d9:84ed:f397;-;00:50:56:9e:70:c1;ws2-08.ops.blue07.ex;OPS
10.7.2.72;10.0.107.119;-;2a07:1182:7:2:4971:dc46:bf68:8afc;-;00:50:56:9e:0a:4c;ws2-09.ops.blue07.ex;OPS
10.7.2.75;10.0.107.120;-;2a07:1182:7:2:19b7:f359:16cf:7bfe;-;00:50:56:9e:78:3c;ws2-10.ops.blue07.ex;OPS
10.7.2.63;10.0.107.121;-;2a07:1182:7:2:9cd2:f364:cfe7:a231;-;00:50:56:9e:48:a4;ws3-01.ops.blue07.ex;OPS
10.7.2.61;10.0.107.122;-;2a07:1182:7:2:ad32:6a84:a74e:7da5;-;00:50:56:9e:0e:e7;ws3-02.ops.blue07.ex;OPS
10.7.2.62;10.0.107.123;-;2a07:1182:7:2:a532:7699:591b:5a24;-;00:50:56:9e:1d:b6;ws3-03.ops.blue07.ex;OPS
10.7.2.60;10.0.107.124;-;2a07:1182:7:2:a0ec:a518:fe5e:7b58;-;00:50:56:9e:2b:dc;ws3-04.ops.blue07.ex;OPS
10.7.2.54;10.0.107.125;-;?;-;00:50:56:9e:01:dc;ws3-05.ops.blue07.ex;OPS
10.7.2.57;10.0.107.126;-;2a07:1182:7:2:481d:9e02:b272:6806;-;00:50:56:9e:20:d5;ws3-06.ops.blue07.ex;OPS
10.7.2.58;10.0.107.127;-;?;-;00:50:56:9e:7b:3d;ws3-07.ops.blue07.ex;OPS
10.7.2.53;10.0.107.128;-;?;-;00:50:56:9e:08:69;ws3-08.ops.blue07.ex;OPS
10.7.2.59;10.0.107.129;-;2a07:1182:7:2:75da:aa05:f440:3658;-;00:50:56:9e:75:d3;ws3-09.ops.blue07.ex;OPS
10.7.2.55;10.0.107.130;-;?;-;00:50:56:9e:7a:c8;ws3-10.ops.blue07.ex;OPS
10.7.2.32;10.0.107.131;-;2a07:1182:7:2:250:56ff:fe9e:f73;-;00:50:56:9e:0f:73;ws4-01.ops.blue07.ex;OPS
10.7.2.51;10.0.107.132;-;2a07:1182:7:2:250:56ff:fe9e:67db;-;00:50:56:9e:67:db;ws4-02.ops.blue07.ex;OPS
10.7.2.47;10.0.107.133;-;2a07:1182:7:2:250:56ff:fe9e:650c;-;00:50:56:9e:65:0c;ws4-03.ops.blue07.ex;OPS
10.7.2.64;10.0.107.134;-;2a07:1182:7:2:250:56ff:fe9e:6d7c;-;00:50:56:9e:6d:7c;ws4-04.ops.blue07.ex;OPS
10.7.2.38;10.0.107.135;-;2a07:1182:7:2:250:56ff:fe9e:73ce;-;00:50:56:9e:73:ce;ws4-05.ops.blue07.ex;OPS
10.7.2.46;10.0.107.136;-;2a07:1182:7:2:250:56ff:fe9e:38a3;-;00:50:56:9e:38:a3;ws4-06.ops.blue07.ex;OPS
10.7.2.35;10.0.107.137;-;2a07:1182:7:2:250:56ff:fe9e:42d9;-;00:50:56:9e:42:d9;ws4-07.ops.blue07.ex;OPS
10.7.2.65;10.0.107.138;-;2a07:1182:7:2:250:56ff:fe9e:587f;-;00:50:56:9e:58:7f;ws4-08.ops.blue07.ex;OPS
10.7.2.43;10.0.107.139;-;2a07:1182:7:2:250:56ff:fe9e:3d5f;-;00:50:56:9e:3d:5f;ws4-09.ops.blue07.ex;OPS
10.7.2.40;10.0.107.140;-;2a07:1182:7:2:250:56ff:fe9e:6be9;-;00:50:56:9e:6b:e9;ws4-10.ops.blue07.ex;OPS
10.7.2.62;10.0.107.20;-;2a07:1182:7:2:a532:7699:591b:5a24;-;00:50:56:9e:1d:b6;ws5.ops.blue07.ex;OPS
?;10.0.107.30;-;?;-;?;icc-ws-gt.ops.blue07.ex;OPS
10.7.3.2;10.0.107.32;-;2a07:1182:7:3::2;-;00:50:56:9e:06:6f;dc3.lab.blue07.ex;LAB
10.7.3.3;10.0.107.33;-;2a07:1182:7:3::3;-;00:50:56:9e:36:3b;files.lab.blue07.ex;LAB
10.7.3.4;10.0.107.34;151.216.7.34;2a07:1182:7:3::4;-;00:50:56:9e:72:4f;git.lab.blue07.ex;LAB
-;10.0.107.35;-;2a07:1182:7:3::5;-;00:50:56:9e:54:6c;mkit.lab.blue07.ex;LAB
-;10.0.107.36;151.216.7.36;2a07:1182:7:3::6;-;00:50:56:9e:19:32;scheduler.lab.blue07.ex;LAB
10.7.3.151;10.0.107.151;-;2a07:1182:7:3::151;2a07:1182:107:2::151;00:50:56:9e:15:7f;ws1-01.lab.blue07.ex;LAB
